 model: 1, d1 = 250.841, d2 = 265.699, d3 = 265.73, d4 = 1524.62, d5 = 199.616, d6 = 815.804, d7 = 856.738, d8 = 1273.77, d9 = 175.355, d10 = 175.355, d11 = 523.979, d12 = 522.244, d13 = 432.892, d14 = 403.265, d15 = 0.495768
 model: 27, d1 = 210.059, d2 = 288.706, d3 = 289.647, d4 = 1557.08, d5 = 226.336, d6 = 830.713, d7 = 874.544, d8 = 1347.02, d9 = 179.212, d10 = 179.212, d11 = 542.073, d12 = 528.061, d13 = 449.328, d14 = 436.803, d15 = 0.518171
 model: 28, d1 = 221.404, d2 = 293.769, d3 = 288.046, d4 = 1525.42, d5 = 218.917, d6 = 798.365, d7 = 843.988, d8 = 1304.02, d9 = 195.897, d10 = 195.897, d11 = 622.331, d12 = 573.685, d13 = 437.571, d14 = 437.674, d15 = 0.500183
 model: 29, d1 = 210.757, d2 = 274.009, d3 = 276.699, d4 = 1523.64, d5 = 223.711, d6 = 860.776, d7 = 841.994, d8 = 1312.89, d9 = 158.211, d10 = 158.212, d11 = 535.852, d12 = 550.318, d13 = 441.858, d14 = 434.941, d15 = 0.514645
 model: 30, d1 = 231.495, d2 = 295.399, d3 = 295.036, d4 = 1499.45, d5 = 222.891, d6 = 786.889, d7 = 796.966, d8 = 1267.96, d9 = 193.841, d10 = 193.841, d11 = 513.387, d12 = 457.675, d13 = 439.426, d14 = 416.056, d15 = 0.536002
 model: 31, d1 = 194.803, d2 = 281.726, d3 = 280.878, d4 = 1463.01, d5 = 216.191, d6 = 790.987, d7 = 817.938, d8 = 1268.21, d9 = 180.619, d10 = 180.619, d11 = 501.714, d12 = 469.225, d13 = 418.601, d14 = 392.079, d15 = 0.551472
 model: 32, d1 = 211.979, d2 = 286.348, d3 = 283.746, d4 = 1475.91, d5 = 212.855, d6 = 819.767, d7 = 816.798, d8 = 1263.93, d9 = 191.541, d10 = 191.541, d11 = 563.013, d12 = 535.783, d13 = 426.07, d14 = 425.093, d15 = 0.500727
 model: 33, d1 = 201.841, d2 = 272.306, d3 = 273.048, d4 = 1552.59, d5 = 213.037, d6 = 899.23, d7 = 906.543, d8 = 1350.75, d9 = 169.604, d10 = 169.603, d11 = 557.9, d12 = 544.861, d13 = 466.097, d14 = 457.175, d15 = 0.466066
 model: 34, d1 = 243.418, d2 = 281.516, d3 = 283.497, d4 = 1568.53, d5 = 217.739, d6 = 898.633, d7 = 859.617, d8 = 1325.11, d9 = 178.415, d10 = 178.416, d11 = 571.949, d12 = 607.722, d13 = 480.351, d14 = 462.379, d15 = 0.471046
 model: 35, d1 = 219.08, d2 = 322.409, d3 = 312.803, d4 = 1538.85, d5 = 226.321, d6 = 853.162, d7 = 844.16, d8 = 1319.77, d9 = 229.62, d10 = 229.62, d11 = 563.371, d12 = 527.77, d13 = 453.018, d14 = 453.422, d15 = 0.499143
 model: 36, d1 = 216.215, d2 = 266.528, d3 = 266.473, d4 = 1571.18, d5 = 216.416, d6 = 893.941, d7 = 904.311, d8 = 1354.96, d9 = 155.552, d10 = 155.552, d11 = 504.535, d12 = 494.478, d13 = 461.82, d14 = 457.767, d15 = 0.472891
 model: 37, d1 = 206.76, d2 = 248.033, d3 = 248.094, d4 = 1408.21, d5 = 180.43, d6 = 798.574, d7 = 816.675, d8 = 1201.45, d9 = 170.186, d10 = 170.186, d11 = 547.905, d12 = 493.373, d13 = 427.583, d14 = 413.627, d15 = 0.436235
 model: 38, d1 = 199.5, d2 = 258.853, d3 = 258.449, d4 = 1545.69, d5 = 215.588, d6 = 939.638, d7 = 898.704, d8 = 1346.19, d9 = 143.272, d10 = 143.272, d11 = 554.724, d12 = 540.652, d13 = 474.002, d14 = 445.894, d15 = 0.483506
 model: 39, d1 = 229.162, d2 = 285.458, d3 = 284.785, d4 = 1528.54, d5 = 221.871, d6 = 847.901, d7 = 834.313, d8 = 1299.38, d9 = 179.592, d10 = 179.593, d11 = 570.95, d12 = 567.286, d13 = 441.18, d14 = 436.571, d15 = 0.508309
 model: 40, d1 = 236.937, d2 = 274.507, d3 = 275.742, d4 = 1525.47, d5 = 220.783, d6 = 890.007, d7 = 827.956, d8 = 1288.53, d9 = 163.118, d10 = 163.118, d11 = 539.984, d12 = 541.897, d13 = 407.513, d14 = 442.726, d15 = 0.49878
 model: 41, d1 = 217.977, d2 = 307.093, d3 = 305.874, d4 = 1543.99, d5 = 216.082, d6 = 846.85, d7 = 871.942, d8 = 1326.01, d9 = 218.207, d10 = 218.207, d11 = 512.712, d12 = 523.047, d13 = 432.457, d14 = 431.832, d15 = 0.500385
 model: 42, d1 = 265.183, d2 = 275.139, d3 = 276.549, d4 = 1531.57, d5 = 187.156, d6 = 855.823, d7 = 864.176, d8 = 1266.38, d9 = 201.671, d10 = 201.671, d11 = 532.035, d12 = 522.813, d13 = 452.396, d14 = 434.413, d15 = 0.430823
 model: 43, d1 = 222.911, d2 = 279.896, d3 = 273.032, d4 = 1493.73, d5 = 225.889, d6 = 857.348, d7 = 796.138, d8 = 1270.82, d9 = 165.273, d10 = 165.273, d11 = 582.362, d12 = 581.677, d13 = 451.741, d14 = 451.73, d15 = 0.500054
 model: 44, d1 = 209.755, d2 = 275.762, d3 = 276.13, d4 = 1545.14, d5 = 209.551, d6 = 903.114, d7 = 892.553, d8 = 1335.39, d9 = 179.232, d10 = 179.232, d11 = 518.624, d12 = 499.498, d13 = 452.098, d14 = 443.062, d15 = 0.473393
 model: 45, d1 = 220.895, d2 = 286.186, d3 = 288.559, d4 = 1559.65, d5 = 223.914, d6 = 877.779, d7 = 867.164, d8 = 1338.75, d9 = 178.201, d10 = 178.201, d11 = 573.522, d12 = 579.071, d13 = 446.511, d14 = 454.138, d15 = 0.493215
 model: 46, d1 = 242.949, d2 = 274.412, d3 = 274.666, d4 = 1598.72, d5 = 207.602, d6 = 877.525, d7 = 916.343, d8 = 1355.77, d9 = 179.415, d10 = 179.415, d11 = 594.857, d12 = 586.822, d13 = 467.148, d14 = 449.791, d15 = 0.46157
 model: 47, d1 = 206.21, d2 = 259.598, d3 = 252.193, d4 = 1402.06, d5 = 198.612, d6 = 750.215, d7 = 778.497, d8 = 1195.85, d9 = 167.166, d10 = 167.164, d11 = 527.234, d12 = 493.526, d13 = 397.154, d14 = 397.256, d15 = 0.499959
 model: 48, d1 = 232.626, d2 = 308.722, d3 = 309.688, d4 = 1592.55, d5 = 236.524, d6 = 827.174, d7 = 864.003, d8 = 1359.92, d9 = 198.396, d10 = 198.396, d11 = 543.178, d12 = 524.327, d13 = 447.7, d14 = 433.912, d15 = 0.545424
 model: 49, d1 = 219.699, d2 = 279.984, d3 = 283.375, d4 = 1505.93, d5 = 218.92, d6 = 836.631, d7 = 826.205, d8 = 1286.23, d9 = 174.541, d10 = 174.542, d11 = 579.505, d12 = 577.782, d13 = 437.804, d14 = 437.649, d15 = 0.500217
 model: 50, d1 = 218.976, d2 = 270.229, d3 = 270.826, d4 = 1534.13, d5 = 208.907, d6 = 844.562, d7 = 880.005, d8 = 1315.15, d9 = 171.384, d10 = 171.384, d11 = 524.328, d12 = 515.481, d13 = 454.06, d14 = 423.291, d15 = 0.494201
 model: 51, d1 = 213.709, d2 = 273.353, d3 = 263.293, d4 = 1538.42, d5 = 210.573, d6 = 849.258, d7 = 882.218, d8 = 1324.71, d9 = 174.302, d10 = 174.302, d11 = 570.502, d12 = 587.569, d13 = 421.008, d14 = 420.905, d15 = 0.500286
 model: 52, d1 = 219.259, d2 = 292.789, d3 = 293.986, d4 = 1631.79, d5 = 223.403, d6 = 942.372, d7 = 941.992, d8 = 1412.53, d9 = 189.235, d10 = 189.235, d11 = 580.794, d12 = 551.2, d13 = 504.35, d14 = 485.473, d15 = 0.460184
 model: 53, d1 = 251.852, d2 = 258.25, d3 = 260.529, d4 = 1525.4, d5 = 199.978, d6 = 819.989, d7 = 851.907, d8 = 1273.54, d9 = 163.363, d10 = 163.363, d11 = 522.559, d12 = 530.439, d13 = 455.191, d14 = 427.893, d15 = 0.467825
 model: 54, d1 = 198.338, d2 = 232.017, d3 = 232.491, d4 = 1388.08, d5 = 191.471, d6 = 770.393, d7 = 791.905, d8 = 1189.74, d9 = 131.029, d10 = 131.03, d11 = 519.891, d12 = 453.653, d13 = 418.356, d14 = 402.634, d15 = 0.475894
 model: 55, d1 = 204.867, d2 = 257.226, d3 = 257.653, d4 = 1492.98, d5 = 199.184, d6 = 813.862, d7 = 868.839, d8 = 1288.11, d9 = 162.753, d10 = 162.752, d11 = 478.79, d12 = 442.654, d13 = 433.529, d14 = 430.414, d15 = 0.462967
 model: 56, d1 = 208.429, d2 = 282.876, d3 = 278.064, d4 = 1521.56, d5 = 206.602, d6 = 804.304, d7 = 878.979, d8 = 1313.13, d9 = 193.222, d10 = 193.222, d11 = 535.314, d12 = 546.126, d13 = 412.765, d14 = 413.029, d15 = 0.500211
 model: 57, d1 = 290.627, d2 = 264.396, d3 = 270.804, d4 = 1445.03, d5 = 164.463, d6 = 631.348, d7 = 761.073, d8 = 1154.4, d9 = 206.908, d10 = 206.907, d11 = 507.383, d12 = 507.384, d13 = 387.998, d14 = 302.865, d15 = 0.572392
 model: 58, d1 = 210.813, d2 = 277.945, d3 = 278.341, d4 = 1551.43, d5 = 209.569, d6 = 832.009, d7 = 898.37, d8 = 1340.62, d9 = 182.564, d10 = 182.563, d11 = 531.362, d12 = 543.371, d13 = 449.459, d14 = 432.269, d15 = 0.48486
 model: 59, d1 = 211.112, d2 = 256.333, d3 = 256.633, d4 = 1450.81, d5 = 211.767, d6 = 857.023, d7 = 800.895, d8 = 1239.7, d9 = 144.432, d10 = 144.433, d11 = 515.121, d12 = 539.536, d13 = 414.471, d14 = 418.793, d15 = 0.505663
 model: 60, d1 = 173.564, d2 = 245.213, d3 = 247.678, d4 = 1405.57, d5 = 184.555, d6 = 814.111, d7 = 831.451, d8 = 1232.01, d9 = 161.443, d10 = 161.444, d11 = 491.951, d12 = 475.172, d13 = 418.472, d14 = 420.128, d15 = 0.439306
 model: 61, d1 = 265.972, d2 = 289.344, d3 = 290.079, d4 = 1541.96, d5 = 198.419, d6 = 843.179, d7 = 855.683, d8 = 1275.99, d9 = 210.583, d10 = 210.583, d11 = 503.393, d12 = 419.354, d13 = 443.766, d14 = 424.648, d15 = 0.467265
 model: 62, d1 = 207.259, d2 = 280.237, d3 = 274.347, d4 = 1498.26, d5 = 205.439, d6 = 827.045, d7 = 859.3, d8 = 1291, d9 = 190.598, d10 = 190.598, d11 = 542.652, d12 = 530.984, d13 = 410.633, d14 = 410.849, d15 = 0.500035
 model: 63, d1 = 219.672, d2 = 290.595, d3 = 286.236, d4 = 1584.81, d5 = 222.233, d6 = 847.499, d7 = 898.145, d8 = 1365.14, d9 = 187.237, d10 = 187.238, d11 = 582.029, d12 = 561.411, d13 = 443.727, d14 = 444.384, d15 = 0.500093
 model: 64, d1 = 216.217, d2 = 277.954, d3 = 255.142, d4 = 1433.63, d5 = 210.55, d6 = 796.516, d7 = 774.972, d8 = 1217.41, d9 = 181.458, d10 = 181.457, d11 = 538.59, d12 = 505.908, d13 = 420.986, d14 = 420.932, d15 = 0.5002
 model: 65, d1 = 215.834, d2 = 306.762, d3 = 300.216, d4 = 1459.31, d5 = 212.723, d6 = 704.363, d7 = 796.461, d8 = 1243.47, d9 = 221.025, d10 = 221.025, d11 = 516.013, d12 = 492.194, d13 = 425.424, d14 = 425.399, d15 = 0.500056
 model: 66, d1 = 231.254, d2 = 286.324, d3 = 287.22, d4 = 1539.29, d5 = 222.133, d6 = 864.47, d7 = 838.62, d8 = 1308.04, d9 = 180.651, d10 = 180.651, d11 = 525.565, d12 = 510.997, d13 = 422, d14 = 440.755, d15 = 0.504134
 model: 67, d1 = 218.959, d2 = 275.487, d3 = 275.267, d4 = 1526.12, d5 = 214.822, d6 = 851.712, d7 = 857.062, d8 = 1307.16, d9 = 172.464, d10 = 172.464, d11 = 516.57, d12 = 502.061, d13 = 444.972, d14 = 444.424, d15 = 0.4834
 model: 68, d1 = 208.904, d2 = 280.007, d3 = 278.812, d4 = 1449.51, d5 = 206.243, d6 = 528.2, d7 = 807.215, d8 = 1240.61, d9 = 189.389, d10 = 189.389, d11 = 476.797, d12 = 479.986, d13 = 411.567, d14 = 410.88, d15 = 0.501956
 model: 69, d1 = 214.956, d2 = 273.135, d3 = 262.893, d4 = 1475.28, d5 = 216.925, d6 = 769.023, d7 = 804.481, d8 = 1260.32, d9 = 165.971, d10 = 165.972, d11 = 544.845, d12 = 536.039, d13 = 433.7, d14 = 433.04, d15 = 0.500936
 model: 70, d1 = 223.589, d2 = 266.239, d3 = 266.485, d4 = 1476.85, d5 = 213.173, d6 = 813.549, d7 = 810.209, d8 = 1253.26, d9 = 159.5, d10 = 159.5, d11 = 506.65, d12 = 484.442, d13 = 422.412, d14 = 413.906, d15 = 0.515029
 model: 71, d1 = 218.026, d2 = 271.129, d3 = 270.788, d4 = 1563.15, d5 = 222.17, d6 = 862.3, d7 = 884.825, d8 = 1345.13, d9 = 155.404, d10 = 155.403, d11 = 567.013, d12 = 546.215, d13 = 465.731, d14 = 438.656, d15 = 0.506618
 model: 72, d1 = 197.283, d2 = 229.552, d3 = 229.697, d4 = 1352.11, d5 = 186.116, d6 = 733.798, d7 = 765.788, d8 = 1154.83, d9 = 134.354, d10 = 134.354, d11 = 511.134, d12 = 491.428, d13 = 379.471, d14 = 378.26, d15 = 0.492561
 model: 73, d1 = 211.121, d2 = 276.258, d3 = 270.01, d4 = 1420.21, d5 = 209.453, d6 = 832.38, d7 = 768.948, d8 = 1209.09, d9 = 180.132, d10 = 180.132, d11 = 544.253, d12 = 521.849, d13 = 418.882, d14 = 418.796, d15 = 0.500132
 model: 74, d1 = 226.469, d2 = 271.91, d3 = 271.124, d4 = 1571.63, d5 = 210.158, d6 = 881.685, d7 = 901.014, d8 = 1345.17, d9 = 172.531, d10 = 172.531, d11 = 586.696, d12 = 540.198, d13 = 462.639, d14 = 452.423, d15 = 0.464568
 model: 75, d1 = 230.029, d2 = 280.61, d3 = 282.254, d4 = 1585.41, d5 = 223.155, d6 = 828.343, d7 = 886.393, d8 = 1355.38, d9 = 170.11, d10 = 170.11, d11 = 509.035, d12 = 519.421, d13 = 455.29, d14 = 420.814, d15 = 0.530323
 model: 76, d1 = 206.486, d2 = 293.787, d3 = 280.085, d4 = 1419.16, d5 = 212.225, d6 = 767.464, d7 = 766.712, d8 = 1212.68, d9 = 203.154, d10 = 203.154, d11 = 540.376, d12 = 528.991, d13 = 424.456, d14 = 424.418, d15 = 0.500039
 model: 77, d1 = 171.329, d2 = 245.729, d3 = 245.363, d4 = 1456.6, d5 = 203.35, d6 = 827.539, d7 = 861.13, d8 = 1285.27, d9 = 137.937, d10 = 137.937, d11 = 577.289, d12 = 530.414, d13 = 445.012, d14 = 418.618, d15 = 0.485772
 model: 78, d1 = 207.043, d2 = 287.318, d3 = 287.981, d4 = 1579.41, d5 = 223.207, d6 = 840.728, d7 = 903.389, d8 = 1372.37, d9 = 180.852, d10 = 180.851, d11 = 496.619, d12 = 474.572, d13 = 486.102, d14 = 437.043, d15 = 0.510767
 model: 79, d1 = 223.316, d2 = 264.307, d3 = 264.917, d4 = 1473.58, d5 = 206.865, d6 = 764.545, d7 = 820.918, d8 = 1250.27, d9 = 164.509, d10 = 164.509, d11 = 505.319, d12 = 477.08, d13 = 412.092, d14 = 387.559, d15 = 0.5338
