 model: 1, d1 = 267.38, d2 = 250.943, d3 = 249.542, d4 = 1490.03, d5 = 202.305, d6 = 813.895, d7 = 795.012, d8 = 1222.65, d9 = 148.43, d10 = 148.429, d11 = 576.54, d12 = 542.957, d13 = 414.733, d14 = 414.922, d15 = 0.487573
 model: 24, d1 = 263.363, d2 = 251.952, d3 = 252.945, d4 = 1477.44, d5 = 199.96, d6 = 782.408, d7 = 793.622, d8 = 1214.08, d9 = 153.229, d10 = 153.229, d11 = 576.902, d12 = 552.257, d13 = 390.289, d14 = 390.464, d15 = 0.512123
 model: 25, d1 = 269.12, d2 = 273.388, d3 = 275.245, d4 = 1614, d5 = 215.016, d6 = 898.584, d7 = 894.996, d8 = 1344.88, d9 = 168.834, d10 = 168.834, d11 = 593.448, d12 = 575.642, d13 = 461.195, d14 = 441.502, d15 = 0.487899
 model: 26, d1 = 198.454, d2 = 260.168, d3 = 254.334, d4 = 1309.51, d5 = 195.888, d6 = 755.847, d7 = 699.427, d8 = 1111.06, d9 = 171.217, d10 = 171.217, d11 = 502.068, d12 = 529.031, d13 = 391.663, d14 = 391.503, d15 = 0.500349
 model: 27, d1 = 237.758, d2 = 264.892, d3 = 266.923, d4 = 1538.58, d5 = 209.171, d6 = 842.313, d7 = 861.086, d8 = 1300.82, d9 = 162.524, d10 = 162.524, d11 = 584.488, d12 = 569.826, d13 = 447.823, d14 = 433.352, d15 = 0.482682
 model: 28, d1 = 272.492, d2 = 277.858, d3 = 277.883, d4 = 1634.88, d5 = 219.64, d6 = 823.838, d7 = 899.477, d8 = 1362.39, d9 = 170.182, d10 = 170.182, d11 = 590.374, d12 = 565.892, d13 = 449.24, d14 = 417.014, d15 = 0.526807
 model: 29, d1 = 273.403, d2 = 259.524, d3 = 260.989, d4 = 1545.99, d5 = 195.956, d6 = 839.38, d7 = 855.642, d8 = 1272.59, d9 = 170.149, d10 = 170.148, d11 = 539.412, d12 = 528.585, d13 = 433.581, d14 = 419.821, d15 = 0.466771
 model: 30, d1 = 260.62, d2 = 261.788, d3 = 263.247, d4 = 1469.2, d5 = 202.97, d6 = 801.671, d7 = 778.662, d8 = 1208.58, d9 = 165.326, d10 = 165.328, d11 = 536.972, d12 = 518.418, d13 = 396.388, d14 = 402.648, d15 = 0.504121
 model: 31, d1 = 251.457, d2 = 246.958, d3 = 248.2, d4 = 1427.53, d5 = 192.902, d6 = 788.969, d7 = 770.331, d8 = 1176.08, d9 = 154.191, d10 = 154.192, d11 = 548.091, d12 = 501.087, d13 = 401.112, d14 = 405.304, d15 = 0.476059
 model: 32, d1 = 277.63, d2 = 257.781, d3 = 258.966, d4 = 1482.28, d5 = 201.213, d6 = 813.382, d7 = 783.208, d8 = 1204.65, d9 = 161.134, d10 = 161.134, d11 = 575.354, d12 = 525.881, d13 = 414.523, d14 = 389.886, d15 = 0.516095
 model: 33, d1 = 281.653, d2 = 257.474, d3 = 257.805, d4 = 1547.64, d5 = 203.503, d6 = 848.346, d7 = 843.473, d8 = 1265.99, d9 = 157.72, d10 = 157.72, d11 = 585.965, d12 = 541.425, d13 = 431.929, d14 = 418.529, d15 = 0.486324
 model: 34, d1 = 287.093, d2 = 268.328, d3 = 268.443, d4 = 1565.55, d5 = 212.928, d6 = 880.236, d7 = 828.033, d8 = 1278.45, d9 = 163.275, d10 = 163.276, d11 = 583.175, d12 = 584.721, d13 = 420.738, d14 = 421.946, d15 = 0.505216
 model: 35, d1 = 266.584, d2 = 297.938, d3 = 300.23, d4 = 1649.37, d5 = 226.903, d6 = 871.132, d7 = 899.981, d8 = 1382.79, d9 = 193.058, d10 = 193.057, d11 = 604.507, d12 = 559.014, d13 = 459.496, d14 = 467.664, d15 = 0.485355
 model: 36, d1 = 292.78, d2 = 232.188, d3 = 234.472, d4 = 1336.52, d5 = 166.321, d6 = 564.127, d7 = 651.772, d8 = 1043.74, d9 = 161.705, d10 = 161.704, d11 = 399.298, d12 = 482.589, d13 = 328.344, d14 = 268.62, d15 = 0.621543
 model: 37, d1 = 265.736, d2 = 232.002, d3 = 231.439, d4 = 1430.13, d5 = 173.238, d6 = 787.633, d7 = 792.656, d8 = 1164.4, d9 = 154.302, d10 = 154.302, d11 = 550.683, d12 = 485.807, d13 = 407.664, d14 = 390.989, d15 = 0.443159
 model: 38, d1 = 267.296, d2 = 250.181, d3 = 248.619, d4 = 1472.84, d5 = 202.449, d6 = 794.462, d7 = 782.698, d8 = 1205.54, d9 = 146.955, d10 = 146.955, d11 = 533.475, d12 = 539.334, d13 = 417.02, d14 = 404.982, d15 = 0.50008
 model: 39, d1 = 276.321, d2 = 269.172, d3 = 269.989, d4 = 1608.59, d5 = 214.277, d6 = 886.121, d7 = 881.233, d8 = 1332.27, d9 = 162.903, d10 = 162.903, d11 = 581.011, d12 = 583.84, d13 = 463.088, d14 = 450.402, d15 = 0.475795
 model: 40, d1 = 259.212, d2 = 254.355, d3 = 253.805, d4 = 1553.76, d5 = 203.309, d6 = 831.389, d7 = 868.46, d8 = 1294.55, d9 = 152.831, d10 = 152.831, d11 = 566.668, d12 = 547.263, d13 = 436.661, d14 = 434.318, d15 = 0.468208
 model: 41, d1 = 283.847, d2 = 260.82, d3 = 262.312, d4 = 1622.84, d5 = 212.925, d6 = 931.892, d7 = 896.436, d8 = 1338.99, d9 = 150.627, d10 = 150.626, d11 = 537.325, d12 = 530.501, d13 = 448.291, d14 = 452.409, d15 = 0.471278
 model: 42, d1 = 269.219, d2 = 258.028, d3 = 258.947, d4 = 1534.42, d5 = 191.747, d6 = 865.547, d7 = 855.44, d8 = 1265.2, d9 = 172.655, d10 = 172.655, d11 = 568.015, d12 = 579.126, d13 = 433.339, d14 = 427.732, d15 = 0.448349
 model: 43, d1 = 299.169, d2 = 268.997, d3 = 269.885, d4 = 1654.02, d5 = 210.285, d6 = 885.531, d7 = 910.489, d8 = 1354.86, d9 = 167.745, d10 = 167.745, d11 = 587.198, d12 = 553.146, d13 = 457.904, d14 = 453.197, d15 = 0.464012
 model: 44, d1 = 240.103, d2 = 258.027, d3 = 256.728, d4 = 1492.96, d5 = 211.371, d6 = 835.786, d7 = 810.507, d8 = 1252.86, d9 = 147.98, d10 = 147.98, d11 = 570.416, d12 = 553.67, d13 = 420.541, d14 = 423.602, d15 = 0.499214
 model: 45, d1 = 242.421, d2 = 244.08, d3 = 244.015, d4 = 1557.24, d5 = 198.673, d6 = 847.95, d7 = 889.231, d8 = 1314.82, d9 = 141.774, d10 = 141.775, d11 = 622.327, d12 = 577.154, d13 = 450.739, d14 = 434.083, d15 = 0.4577
 model: 46, d1 = 297.885, d2 = 279.381, d3 = 281.109, d4 = 1495.37, d5 = 217.614, d6 = 755.576, d7 = 733.508, d8 = 1197.49, d9 = 175.194, d10 = 175.193, d11 = 609.251, d12 = 564.449, d13 = 390.955, d14 = 361.554, d15 = 0.602192
 model: 47, d1 = 276.597, d2 = 235.367, d3 = 235.479, d4 = 1450.12, d5 = 183.017, d6 = 754.028, d7 = 786.834, d8 = 1173.52, d9 = 147.988, d10 = 147.988, d11 = 496.107, d12 = 507.229, d13 = 386.501, d14 = 396.497, d15 = 0.461687
 model: 48, d1 = 255.635, d2 = 279.7, d3 = 282.238, d4 = 1584.4, d5 = 221.922, d6 = 819.264, d7 = 862.341, d8 = 1328.76, d9 = 170.235, d10 = 170.234, d11 = 573.159, d12 = 565.898, d13 = 441.482, d14 = 419.528, d15 = 0.52907
 model: 49, d1 = 261.028, d2 = 266.157, d3 = 266.618, d4 = 1552.72, d5 = 211.95, d6 = 834.887, d7 = 846.725, d8 = 1291.69, d9 = 160.972, d10 = 160.972, d11 = 555.54, d12 = 546.618, d13 = 447.043, d14 = 433.088, d15 = 0.489443
 model: 50, d1 = 259.108, d2 = 250.878, d3 = 253.15, d4 = 1532.71, d5 = 195.809, d6 = 834.469, d7 = 861.722, d8 = 1273.6, d9 = 156.832, d10 = 156.832, d11 = 525.131, d12 = 515.085, d13 = 438.72, d14 = 428.369, d15 = 0.457198
 model: 51, d1 = 256.214, d2 = 257.784, d3 = 259.428, d4 = 1544.48, d5 = 203.488, d6 = 869.08, d7 = 860.788, d8 = 1288.26, d9 = 158.25, d10 = 158.25, d11 = 579.133, d12 = 577.228, d13 = 436.734, d14 = 435.101, d15 = 0.467883
 model: 52, d1 = 239.363, d2 = 275.743, d3 = 276.268, d4 = 1592.43, d5 = 217.359, d6 = 867.548, d7 = 895.242, d8 = 1353.07, d9 = 169.672, d10 = 169.671, d11 = 588.558, d12 = 590.626, d13 = 471.039, d14 = 449.495, d15 = 0.483599
 model: 53, d1 = 212.108, d2 = 278.82, d3 = 280.548, d4 = 1394.61, d5 = 205.39, d6 = 777.269, d7 = 750.903, d8 = 1182.5, d9 = 188.561, d10 = 188.561, d11 = 572.096, d12 = 586.449, d13 = 410.659, d14 = 410.706, d15 = 0.500091
 model: 54, d1 = 245.388, d2 = 232.318, d3 = 230.778, d4 = 1388.52, d5 = 183.071, d6 = 778.927, d7 = 759.03, d8 = 1143.13, d9 = 143.024, d10 = 143.024, d11 = 500.918, d12 = 493.074, d13 = 389.492, d14 = 395.183, d15 = 0.463334
 model: 55, d1 = 183.02, d2 = 237.22, d3 = 236.591, d4 = 1446.6, d5 = 204.876, d6 = 834.381, d7 = 835.159, d8 = 1263.58, d9 = 119.543, d10 = 119.543, d11 = 566.927, d12 = 578.525, d13 = 430.199, d14 = 424.625, d15 = 0.482486
 model: 56, d1 = 252.767, d2 = 249.057, d3 = 249.535, d4 = 1457.43, d5 = 186.314, d6 = 797.284, d7 = 808.369, d8 = 1204.66, d9 = 165.251, d10 = 165.251, d11 = 563.82, d12 = 542.467, d13 = 415.151, d14 = 407.637, d15 = 0.45756
 model: 57, d1 = 257.181, d2 = 244.993, d3 = 247.253, d4 = 1374.17, d5 = 189.947, d6 = 762.468, d7 = 715.536, d8 = 1116.99, d9 = 154.715, d10 = 154.716, d11 = 487.219, d12 = 444.315, d13 = 369.552, d14 = 359.984, d15 = 0.52788
 model: 58, d1 = 245.112, d2 = 268.679, d3 = 269.53, d4 = 1565.93, d5 = 216.65, d6 = 844.857, d7 = 870.191, d8 = 1320.82, d9 = 158.896, d10 = 158.896, d11 = 571.878, d12 = 555.684, d13 = 452.699, d14 = 437.036, d15 = 0.495845
 model: 59, d1 = 270.969, d2 = 239.617, d3 = 240.64, d4 = 1458.53, d5 = 187.855, d6 = 777.694, d7 = 791.758, d8 = 1187.56, d9 = 148.707, d10 = 148.707, d11 = 542.163, d12 = 499.101, d13 = 399.997, d14 = 389.401, d15 = 0.48263
 model: 60, d1 = 237.339, d2 = 249.999, d3 = 249.97, d4 = 1431.52, d5 = 188.835, d6 = 757.375, d7 = 789.258, d8 = 1194.18, d9 = 163.791, d10 = 163.791, d11 = 486.267, d12 = 509.589, d13 = 409.509, d14 = 387.911, d15 = 0.486891
 model: 61, d1 = 277.307, d2 = 255.577, d3 = 255.226, d4 = 1532.29, d5 = 198.465, d6 = 826.081, d7 = 839.998, d8 = 1254.98, d9 = 161.029, d10 = 161.029, d11 = 550.228, d12 = 518.799, d13 = 418.499, d14 = 419.325, d15 = 0.473372
 model: 62, d1 = 249.297, d2 = 250.486, d3 = 253.844, d4 = 1409.57, d5 = 198.823, d6 = 756.378, d7 = 743.728, d8 = 1160.28, d9 = 152.344, d10 = 152.345, d11 = 546.466, d12 = 537.133, d13 = 382.648, d14 = 389.239, d15 = 0.511031
 model: 63, d1 = 267.887, d2 = 265.239, d3 = 266.66, d4 = 1616.41, d5 = 215.254, d6 = 882.821, d7 = 902.746, d8 = 1348.52, d9 = 154.954, d10 = 154.954, d11 = 592.116, d12 = 563.669, d13 = 460.587, d14 = 460.111, d15 = 0.467837
 model: 64, d1 = 251.607, d2 = 244.024, d3 = 243.799, d4 = 1477.41, d5 = 184.774, d6 = 834.832, d7 = 836.647, d8 = 1225.8, d9 = 159.387, d10 = 159.387, d11 = 553.536, d12 = 496.659, d13 = 427.485, d14 = 415.492, d15 = 0.445097
 model: 65, d1 = 274.495, d2 = 253.749, d3 = 256.052, d4 = 1491.12, d5 = 199.009, d6 = 799.288, d7 = 796.897, d8 = 1216.63, d9 = 157.422, d10 = 157.421, d11 = 565.026, d12 = 514.307, d13 = 397.902, d14 = 406.076, d15 = 0.490129
 model: 66, d1 = 257.06, d2 = 272.434, d3 = 274.299, d4 = 1549.84, d5 = 212.383, d6 = 823.43, d7 = 843.02, d8 = 1292.78, d9 = 170.62, d10 = 170.62, d11 = 543.225, d12 = 526.134, d13 = 451.844, d14 = 435.913, d15 = 0.487385
 model: 67, d1 = 260.517, d2 = 245.279, d3 = 244.56, d4 = 1498.92, d5 = 184.168, d6 = 826.853, d7 = 846.247, d8 = 1238.41, d9 = 161.978, d10 = 161.978, d11 = 512.281, d12 = 523.304, d13 = 431.093, d14 = 414.194, d15 = 0.444709
 model: 68, d1 = 268.023, d2 = 248.634, d3 = 249.554, d4 = 1523.29, d5 = 193.527, d6 = 826.029, d7 = 848.256, d8 = 1255.27, d9 = 156.081, d10 = 156.081, d11 = 531.093, d12 = 512.981, d13 = 438.925, d14 = 425.075, d15 = 0.45527
 model: 69, d1 = 261.904, d2 = 255.908, d3 = 256.85, d4 = 1537.12, d5 = 207.505, d6 = 889.107, d7 = 842.425, d8 = 1275.21, d9 = 149.762, d10 = 149.762, d11 = 565.563, d12 = 543.685, d13 = 439.901, d14 = 428.044, d15 = 0.485095
 model: 70, d1 = 269.591, d2 = 241.316, d3 = 241.808, d4 = 1499.99, d5 = 189.955, d6 = 809.842, d7 = 832.427, d8 = 1230.4, d9 = 148.826, d10 = 148.825, d11 = 531.621, d12 = 524.428, d13 = 406.348, d14 = 405.398, d15 = 0.468824
 model: 71, d1 = 265.013, d2 = 272.411, d3 = 273.135, d4 = 1618.86, d5 = 223.879, d6 = 871.294, d7 = 887.726, d8 = 1353.84, d9 = 155.191, d10 = 155.19, d11 = 565.293, d12 = 562.835, d13 = 429.741, d14 = 437.473, d15 = 0.511769
 model: 72, d1 = 242.117, d2 = 233.142, d3 = 233.113, d4 = 1361.35, d5 = 191.209, d6 = 757.047, d7 = 714.805, d8 = 1119.23, d9 = 133.384, d10 = 133.383, d11 = 536.697, d12 = 506.602, d13 = 373.218, d14 = 370.015, d15 = 0.516875
 model: 73, d1 = 266.701, d2 = 256.999, d3 = 257.476, d4 = 1517.21, d5 = 202.745, d6 = 795.93, d7 = 823.308, d8 = 1250.51, d9 = 157.926, d10 = 157.926, d11 = 550.505, d12 = 538.658, d13 = 410.377, d14 = 396.773, d15 = 0.511372
 model: 74, d1 = 293.247, d2 = 272.545, d3 = 272.086, d4 = 1604.45, d5 = 212.095, d6 = 911.698, d7 = 867.955, d8 = 1311.2, d9 = 171.149, d10 = 171.149, d11 = 598.057, d12 = 586.052, d13 = 447.8, d14 = 447.154, d15 = 0.474502
 model: 75, d1 = 260.546, d2 = 244.247, d3 = 244.707, d4 = 1480.96, d5 = 196.929, d6 = 836.748, d7 = 807.664, d8 = 1220.41, d9 = 144.479, d10 = 144.479, d11 = 541.068, d12 = 515.165, d13 = 418.662, d14 = 415.949, d15 = 0.473558
 model: 76, d1 = 269.479, d2 = 261.44, d3 = 261.21, d4 = 1474.85, d5 = 203.17, d6 = 799.044, d7 = 780.857, d8 = 1205.37, d9 = 164.529, d10 = 164.529, d11 = 577.268, d12 = 554.49, d13 = 404.416, d14 = 398.149, d15 = 0.510309
 model: 77, d1 = 241.544, d2 = 245.949, d3 = 246.482, d4 = 1466.01, d5 = 186.338, d6 = 813.136, d7 = 830.181, d8 = 1224.46, d9 = 160.52, d10 = 160.521, d11 = 554.151, d12 = 545.121, d13 = 430.023, d14 = 408.652, d15 = 0.455956
 model: 78, d1 = 244.435, d2 = 248.514, d3 = 250.007, d4 = 1490.88, d5 = 198.604, d6 = 825.862, d7 = 829.496, d8 = 1246.44, d9 = 149.34, d10 = 149.34, d11 = 537.011, d12 = 541.359, d13 = 424.521, d14 = 402.892, d15 = 0.493144
 model: 79, d1 = 254.941, d2 = 227.755, d3 = 228.12, d4 = 1447.9, d5 = 175.709, d6 = 798.141, d7 = 820.032, d8 = 1192.96, d9 = 144.892, d10 = 144.892, d11 = 543.861, d12 = 496.991, d13 = 418.141, d14 = 411.283, d15 = 0.427242
